FID,ADDRESS,CENTRE,X,Y
0,2861 Lauzon Rd,Little River Golf Course,-82.928171415500003,42.306079492199999
1,455 Kennedy Dr W,Roseland Golf and Curling Club,-83.006129491199999,42.251240488400001
2,3215 Forest Glade Dr,Forest Glade Community Centre,-82.915715771300000,42.303155757299997
3,5200 Matchette Rd,Ojibway Nature Centre,-83.075720068600006,42.264275746999999
4,2555 Pulford St,Capri Pizzeria Recreation Complex,-83.035508601000004,42.257920385500000
5,4270 Alice St,Constable John Atkinson Memorial Community Centre,-82.978542886000000,42.313446527700002
6,495 Glengarry Ave,Glengarry Court Community Centre,-83.031123822699996,42.317291301099999
7,1899 Niagara St,Willistead Heritage Complex,-83.011129737800005,42.318561820699998
8,3277 Sandwich St,Mackenzie Hall Cultural Centre,-83.076498556199994,42.300124711800002
9,1551 Wyandotte St W,Adie Knox Herman Recreation Complex,-83.053368586100007,42.307913973500000
10,1168 Drouillard Rd,Gino A. Marcus Community Complex,-82.998277430300007,42.319283292100003
11,400 Wyandotte St E,Windsor Water World,-83.031185790699993,42.316663339100003
12,4200 Malden Rd,Malden Visitors Centre,-83.060975847199998,42.276835426399998
13,1075 Ypres Ave,Optimist Community Centre,-83.003670541800005,42.292361424900001
14,635 McEwan Ave,Centres for Seniors,-83.054786487800001,42.306854548499999
15,8787 McHugh St,WFCU Centre,-82.927486485200006,42.318717190299999